centro,2017,2018,2019,2020,2021
CCS,0.57,0.71,0.54,1.01,0.74
CEAR,2.82,2.59,2.50,4.18,2.58
CCEN,1.77,2.80,2.44,2.65,1.73
CT,1.10,1.64,1.53,2.19,1.48
CCM,0.71,0.57,0.69,1.12,0.72
CBIOTEC,2.14,4.31,2.08,4.38,2.00
CTDR,0.67,0.96,0.64,0.82,0.71
CCHLA,0.69,0.17,0.79,0.82,0.71
CCTA,0.12,0.14,0.12,0.24,0.27
CCHSA,0.91,1.31,1.47,1.74,1.15
CCSA,0.93,0.96,0.76,1.07,0.97
CI,1.07,1.78,1.06,2.63,2.14
CCAE,0.41,0.66,0.67,0.85,0.78
CCJ,0.31,0.49,0.37,0.54,0.53
CCA,0.94,1.13,1.33,1.97,1.96
CE,0.49,0.42,0.57,0.69,0.40
