centro,2017,2018,2019,2020,2021,2022,media
CBIOTEC,14,38,18,13,15,18,19.33
CEAR,35,37,27,38,40,44,36.83
CI,27,52,50,25,31,37,37
CTDR,61,34,34,57,42,51,46.5
CCJ,140,104,170,139,110,132,132.5
CCHSA,153,183,89,159,102,147,138.81
CE,115,149,184,143,170,172,155.5
CCEN,94,200,159,139,190,179,160.16
CCSA,180,157,126,185,177,160,164.16
CCTA,193,200,208,86,89,101,146.16
CCAE,175,248,210,162,166,170,188.5
CT,233,175,181,225,239,221,212.33
CCA,248,262,279,346,330,312,296.17
CCHLA,241,375,223,326,291,207,277.18
CCM,260,316,206,498,520,370,361.67
CCS,685,783,704,880,899,763,785.70
