centro,2017,2018,2019,2020,2021,2022,media
CTDR,31,24,26,29,34,26,28.33
CEAR,23,25,25,24,22,28,24.5
CCHSA,60,70,93,95,81,88,81.17
CI,14,28,25,20,14,14,19.17
CE,143,156,172,194,188,195,174.67
CCTA,90,87,92,90,71,84,85.67
CCSA,78,84,64,85,81,81,78.83
CCAE,62,74,77,83,79,78,75.5
CCS,311,359,358,395,397,400,370.0
CT,208,194,189,204,183,180,193.0
CBIOTEC,10,10,9,7,10,8,9.0
CCEN,54,55,46,68,65,74,60.33
CCHLA,88,131,112,142,136,125,122.33
CCA,143,162,171,172,155,169,162.0
CCJ,33,40,39,51,53,51,44.5
CCM,54,88,80,87,97,83,81.5
