centro,2017,2018,2019,2020,2021,2022,media
CTDR,3.83,3.45,2.89,2.94,3.0,2.41,3.09
CEAR,2.87,3.47,2.85,2.33,2.23,2.21,2.66
CCHSA,2.61,2.46,3.27,3.17,3.13,2.31,2.83
CI,1.82,2.59,2.08,1.36,1.57,1.59,1.84
CE,1.92,1.93,2.15,2.05,1.87,2.02,1.99
CCTA,2.45,2.18,2.25,2.14,2.31,2.06,2.23
CCSA,2.43,2.41,1.92,1.84,1.92,1.7,2.04
CCAE,1.82,2.05,1.92,1.96,2.13,2.14,2.0
CCS,2.56,2.71,2.45,2.42,2.54,2.43,2.52
CT,2.63,2.4,2.34,2.31,2.45,2.15,2.38
CBIOTEC,3.0,3.12,2.12,1.78,1.56,1.5,2.18
CCEN,1.84,1.71,1.94,2.02,1.77,1.9,1.86
CCHLA,1.85,2.08,1.95,2.13,2.07,1.75,1.97
CCA,2.07,2.21,2.15,2.1,2.21,2.51,2.21
CCJ,2.48,2.21,2.14,2.29,2.09,2.61,2.3
CCM,1.71,2.03,2.04,2.13,2.1,2.09,2.02
