centro,2017,2018,2019,2020,2021
CCS,0.41,0.53,0.52,0.68,0.56
CEAR,1.56,1.55,1.78,2.14,2.14
CCEN,1.57,2.20,1.80,2.12,1.66
CT,0.70,1.15,1.21,1.44,1.24
CCM,0.43,0.46,0.59,0.74,0.42
CBIOTEC,1.56,2.00,2.11,3.00,1.60
CTDR,0.50,0.63,0.78,0.86,0.62
CCHLA,0.50,0.62,0.72,0.88,0.74
CCTA,0.11,0.24,0.25,0.38,0.41
CCHSA,0.55,0.76,0.82,0.90,0.87
CCSA,0.67,0.87,0.93,1.16,0.88
CI,1.08,1.17,0.86,2.19,1.56
CCAE,0.32,0.72,0.94,1.10,0.83
CCJ,0.29,0.45,0.45,0.57,0.55
CCA,0.70,0.85,1.06,1.12,1.23
CE,0.57,0.62,0.67,0.83,0.49
