projeto,docente,centro,ano
8,5,CCHLA,2017
1,4,CCHLA,2017
5,3,CCHLA,2017
19,2,CCHLA,2017
42,1,CCHLA,2017
1,7,CCHLA,2018
2,6,CCHLA,2018
6,5,CCHLA,2018
9,4,CCHLA,2018
8,3,CCHLA,2018
27,2,CCHLA,2018
49,1,CCHLA,2018
1,6,CCHLA,2019
6,5,CCHLA,2019
5,4,CCHLA,2019
15,3,CCHLA,2019
21,2,CCHLA,2019
52,1,CCHLA,2019
2,8,CCHLA,2020
1,7,CCHLA,2020
3,6,CCHLA,2020
5,5,CCHLA,2020
13,4,CCHLA,2020
10,3,CCHLA,2020
32,2,CCHLA,2020
63,1,CCHLA,2020
1,14,CCHLA,2021
2,7,CCHLA,2021
4,6,CCHLA,2021
2,5,CCHLA,2021
8,4,CCHLA,2021
13,3,CCHLA,2021
34,2,CCHLA,2021
64,1,CCHLA,2021
1,6,CCHLA,2022
3,5,CCHLA,2022
9,4,CCHLA,2022
13,3,CCHLA,2022
29,2,CCHLA,2022
77,1,CCHLA,2022
1,11,CCA,2017
2,6,CCA,2017
6,5,CCA,2017
9,4,CCA,2017
18,3,CCA,2017
34,2,CCA,2017
50,1,CCA,2017
1,7,CCA,2018
3,6,CCA,2018
8,5,CCA,2018
9,4,CCA,2018
26,3,CCA,2018
43,2,CCA,2018
46,1,CCA,2018
1,8,CCA,2019
1,7,CCA,2019
4,6,CCA,2019
10,5,CCA,2019
11,4,CCA,2019
21,3,CCA,2019
41,2,CCA,2019
61,1,CCA,2019
2,8,CCA,2020
3,6,CCA,2020
5,5,CCA,2020
10,4,CCA,2020
35,3,CCA,2020
32,2,CCA,2020
68,1,CCA,2020
2,8,CCA,2021
4,6,CCA,2021
6,5,CCA,2021
8,4,CCA,2021
18,3,CCA,2021
39,2,CCA,2021
48,1,CCA,2021
1,14,CCA,2022
1,10,CCA,2022
1,9,CCA,2022
1,8,CCA,2022
2,7,CCA,2022
2,6,CCA,2022
10,5,CCA,2022
24,4,CCA,2022
22,3,CCA,2022
41,2,CCA,2022
46,1,CCA,2022
1,8,CCTA,2017
3,7,CCTA,2017
4,6,CCTA,2017
2,5,CCTA,2017
4,4,CCTA,2017
5,3,CCTA,2017
18,2,CCTA,2017
27,1,CCTA,2017
3,7,CCTA,2018
3,6,CCTA,2018
1,5,CCTA,2018
6,4,CCTA,2018
9,3,CCTA,2018
13,2,CCTA,2018
38,1,CCTA,2018
1,7,CCTA,2019
5,6,CCTA,2019
11,5,CCTA,2019
4,4,CCTA,2019
5,3,CCTA,2019
13,2,CCTA,2019
49,1,CCTA,2019
2,7,CCTA,2020
4,6,CCTA,2020
5,5,CCTA,2020
12,4,CCTA,2020
8,3,CCTA,2020
16,2,CCTA,2020
58,1,CCTA,2020
1,7,CCTA,2021
2,6,CCTA,2021
11,5,CCTA,2021
5,4,CCTA,2021
7,3,CCTA,2021
17,2,CCTA,2021
38,1,CCTA,2021
1,8,CCTA,2022
2,6,CCTA,2022
1,5,CCTA,2022
12,4,CCTA,2022
7,3,CCTA,2022
23,2,CCTA,2022
43,1,CCTA,2022
1,5,CI,2017
1,4,CI,2017
7,2,CI,2017
8,1,CI,2017
1,9,CI,2018
3,4,CI,2018
2,3,CI,2018
6,2,CI,2018
5,1,CI,2018
2,6,CI,2019
3,4,CI,2019
1,3,CI,2019
6,2,CI,2019
13,1,CI,2019
1,4,CI,2020
1,3,CI,2020
3,2,CI,2020
17,1,CI,2020
1,4,CI,2021
5,2,CI,2021
8,1,CI,2021
2,3,CI,2022
