centro,2017,2018,2019,2020,2021,2022,media
CTDR,3.81,2.83,2.62,3.56,3.21,2.67,3.12
CI,3.38,4.33,5.00,3.12,3.96,3.99,3.96
CCHSA,4.94,4.82,2.87,3.98,4.15,4.70,4.24
CCTA,4.95,4.88,5.47,2.00,4.33,4.44,4.35
CEAR,5.00,4.62,2.70,5.43,4.44,3.79,4.33
CE,4.42,5.14,5.11,4.21,4.72,5.11,4.75
CCA,5.06,4.76,5.58,7.21,5.65,5.13,5.61
CCHLA,5.60,7.21,4.55,5.53,5.72,6.24,5.81
CCAE,6.25,7.29,6.00,4.38,5.98,6.11,6.00
CCS,5.91,6.07,5.82,6.47,6.07,5.99,6.01
CCEN,4.48,7.69,8.37,4.21,6.19,5.55,6.23
CT,5.68,5.65,6.70,7.03,6.27,6.31,6.99
CCSA,7.50,5.81,7.41,6.61,6.83,7.82,6.88
CBIOTEC,14.00,7.60,3.60,3.25,7.11,5.77,5.99
CCJ,8.24,6.50,8.95,8.69,8.09,8.11,8.01
CCM,7.65,7.35,5.89,12.77,8.41,8.44,8.42
