centro,2017,2018,2019,2020,2021,2022,media
CCA,1.57,1.51,1.78,1.52,1.60,1.52,1.58
CCHLA,1.53,1.75,1.61,1.88,1.69,1.72,1.69
CCTA,1.72,1.63,1.79,1.72,1.72,1.77,1.72
CI,1.25,2.00,1.90,2.00,1.79,1.69,1.77
CCM,1.44,1.65,2.29,1.92,1.83,1.49,1.76
CCEN,1.86,1.54,2.26,1.97,1.91,2.01,1.92
CCJ,2.00,2.31,1.95,1.62,1.97,2.1,1.99
CT,1.90,1.94,2.15,1.94,1.98,1.89,2.00
CTDR,2.19,1.83,1.85,2.12,2.00,2.1,2.01
CE,2.04,1.66,2.42,2.00,2.03,2.11,2.1
CCS,2.02,2.05,2.03,2.09,2.05,1.99,2.1
CCHSA,1.90,1.95,2.35,2.10,2.08,2.11,2.1
CCAE,2.25,2.15,2.06,2.03,2.12,2.55,2.2
CBIOTEC,4.00,1.60,1.40,1.75,2.19,3.05,2.3
CEAR,2.00,2.50,1.70,2.57,2.19,2.31,2.29
CCSA,2.96,2.63,2.24,2.18,2.50,2.3,2.66
