centro,2017,2018,2019,2020,2021
CCS,2.03,2.69,1.99,3.59,2.76
CEAR,2.82,2.59,2.63,4.73,3.06
CCEN,2.00,3.11,2.93,2.77,1.95
CT,2.42,3.18,3.17,4.52,2.96
CCM,4.62,4.67,6.00,7.73,5.17
CBIOTEC,2.14,4.31,2.08,4.38,2.29
CTDR,0.89,1.08,0.78,0.92,1.00
CCHLA,2.07,0.52,2.60,3.26,2.39
CCTA,0.14,0.16,0.14,0.28,0.42
CCHSA,3.33,3.85,4.63,5.23,3.29
CCSA,5.00,4.10,2.83,2.45,1.44
CI,1.14,1.78,1.09,2.63,2.14
CCAE,1.00,1.53,2.60,3.31,3.21
CCJ,0.73,1.29,1.75,2.60,2.67
CCA,0.94,1.13,1.33,1.97,2.12
CE,0.61,0.50,0.65,0.89,0.57
